É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/06/29 17:53:51

,,,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc,éìc
2019,2,28,3.4,7.9,-0.8,0.0,0,0.0,0,0.4,0,,0,1,2.2,4.9,ñk
2019,3,1,4.8,9.0,-0.3,2.5,0,2.0,0,2.5,0,,0,1,4.1,8.8,êºìÏêº
2019,3,2,7.7,10.5,5.0,0,1,0,1,8.0,0,,0,1,5.1,7.6,êº
2019,3,3,6.0,11.5,1.2,0,1,0,1,10.5,0,,0,1,2.7,5.8,ñkñkêº
2019,3,4,6.0,10.6,1.5,0,1,0,1,0.0,0,,0,1,1.5,4.9,ìåìÏìå
2019,3,5,5.8,10.1,1.2,0,1,0,1,10.2,0,,0,1,2.8,6.0,ñkñkêº
2019,3,6,7.7,13.8,1.2,2.0,0,2.0,0,2.0,0,,0,1,3.2,6.9,êº
2019,3,7,5.8,7.6,2.6,6.5,0,2.0,0,0.0,0,,0,1,3.7,7.6,ñk
2019,3,8,4.6,7.3,0.4,2.0,0,0.5,0,2.3,0,,1,0,6.0,10.4,ñkñkêº
2019,3,9,7.6,11.7,2.7,0.0,0,0.0,0,10.2,0,,0,1,3.8,7.4,êºìÏêº
2019,3,10,9.2,14.6,1.8,0,1,0,1,6.4,0,,0,1,3.3,10.0,ìåìÏìå
2019,3,11,9.5,11.5,7.7,13.0,0,3.0,0,0.0,0,,0,1,5.5,12.2,ìåìÏìå
2019,3,12,7.7,9.9,6.0,4.0,0,1.5,0,0.6,0,,0,1,3.9,9.3,êºñkêº
2019,3,13,4.9,9.1,0.8,5.0,0,2.5,0,0.4,0,,0,1,6.0,12.6,ìÏêº
2019,3,14,4.7,6.4,1.7,1.5,0,1.0,0,1.1,0,,0,1,8.8,14.1,êº
2019,3,15,5.8,9.8,3.1,2.0,0,1.5,0,4.2,0,,0,1,3.9,7.9,ìÏêº
2019,3,16,5.2,8.6,2.1,1.0,0,1.0,0,4.3,0,,0,1,4.2,9.0,êºñkêº
2019,3,17,4.4,5.6,2.0,1.5,0,1.0,0,0.0,0,,0,1,3.7,8.2,êºñkêº
2019,3,18,6.1,10.3,1.3,0,1,0,1,8.9,0,,0,1,3.6,7.7,ìÏêº
2019,3,19,8.2,15.4,0.8,0,1,0,1,10.2,0,,0,1,2.5,5.8,êºìÏêº
2019,3,20,9.7,16.0,3.2,0,1,0,1,10.9,0,,0,1,2.2,4.1,ìÏìå
2019,3,21,11.2,17.2,8.4,1.0,0,0.5,0,0.0,0,,0,1,4.6,10.4,êºìÏêº
2019,3,22,6.5,11.3,1.6,2.5,0,1.5,0,0.2,0,,0,1,7.0,10.2,êº
2019,3,23,3.2,6.1,0.8,2.5,0,2.0,0,2.9,0,,0,1,5.5,9.5,êº
2019,3,24,3.0,5.8,0.3,2.5,0,1.5,0,3.7,0,,2,0,6.2,11.9,ñkêº
2019,3,25,7.6,12.7,2.1,0.5,0,0.5,0,2.5,0,,0,1,5.6,11.6,ìÏêº
2019,3,26,9.3,14.6,4.3,0.5,0,0.5,0,7.5,0,,0,1,5.9,9.8,ìÏêº
2019,3,27,5.9,8.3,3.1,0.5,0,0.5,0,0.2,0,,0,1,5.2,10.4,ñkñkêº
2019,3,28,4.4,7.4,1.9,1.5,0,0.5,0,5.3,0,,0,1,5.2,8.2,ñkêº
2019,3,29,5.3,8.4,2.5,0,1,0,1,8.5,0,,0,1,4.0,6.1,êºñkêº
2019,3,30,4.3,9.6,-0.1,19.5,0,10.5,0,4.8,0,,0,1,4.8,10.0,ìåìÏìå
2019,3,31,5.7,11.0,3.0,13.0,0,4.5,0,1.5,0,,0,1,4.9,10.7,ìÏêº
2019,4,1,4.3,7.0,1.1,3.0,0,2.0,0,2.4,0,,0,1,3.3,6.8,ñkñkêº
2019,4,2,3.1,5.8,1.0,2.0,0,1.0,0,4.1,0,,0,1,5.9,11.8,êºñkêº
2019,4,3,4.8,7.7,0.1,1.5,0,1.0,0,1.1,0,,1,0,5.9,9.2,êº
2019,4,4,8.7,11.9,3.5,1.0,0,0.5,0,4.4,0,,0,1,6.7,12.0,êºìÏêº
2019,4,5,11.5,14.5,7.5,0.0,0,0.0,0,0.3,0,,0,1,7.1,11.6,ìÏêº
2019,4,6,9.0,11.5,7.1,0.0,0,0.0,0,5.4,0,,0,1,7.6,13.3,êº
2019,4,7,7.3,12.1,2.1,2.0,0,2.0,0,0.6,0,,0,1,3.3,8.2,ìÏêº
2019,4,8,6.1,10.0,0.8,0.0,0,0.0,0,7.5,0,,0,1,3.1,10.9,ñkêº
2019,4,9,7.9,10.6,4.1,0.0,0,0.0,0,6.9,0,,0,1,5.4,8.2,ñkêº
2019,4,10,5.9,11.8,2.6,3.5,0,1.5,0,0.5,0,,0,1,3.8,8.5,ìåìÏìå
2019,4,11,5.7,10.6,0.6,8.5,0,2.5,0,6.9,0,,0,1,2.9,5.5,êºñkêº
2019,4,12,7.5,12.2,3.3,0,1,0,1,10.5,0,,0,1,2.8,6.1,êºìÏêº
2019,4,13,8.2,13.9,1.6,0,1,0,1,12.5,0,,0,1,3.5,8.9,êºìÏêº
2019,4,14,12.3,17.8,5.2,0.0,0,0.0,0,7.0,0,,0,1,2.6,6.4,ìÏêº
2019,4,15,9.5,12.4,8.1,10.0,0,2.5,0,1.8,0,,0,1,7.9,13.6,êº
2019,4,16,10.1,14.0,5.4,0,1,0,1,9.5,0,,0,1,4.6,8.6,ìÏêº
2019,4,17,13.2,21.1,5.4,0,1,0,1,11.8,0,,0,1,2.9,6.5,ìÏìå
2019,4,18,14.0,18.7,8.0,0,1,0,1,10.6,0,,0,1,2.8,6.3,êºìÏêº
2019,4,19,10.1,13.3,7.3,7.0,0,4.0,0,4.0,0,,0,1,4.2,6.9,ñkêº
2019,4,20,8.7,12.8,2.9,0,1,0,1,11.1,0,,0,1,3.4,7.7,êºìÏêº
2019,4,21,12.4,20.5,6.1,0,1,0,1,3.6,0,,0,1,2.4,6.7,ìÏìå
2019,4,22,12.0,15.1,7.6,0,1,0,1,10.4,0,,0,1,2.2,5.1,ñkêº
2019,4,23,15.7,24.6,5.5,0,1,0,1,11.5,0,,0,1,3.5,5.6,ìÏìÏìå
2019,4,24,18.4,25.7,13.1,3.0,0,2.5,0,0.8,0,,0,1,3.0,5.7,ìÏìå
2019,4,25,13.7,16.5,10.9,16.0,0,4.5,0,0.1,0,,0,1,3.0,6.1,ñkñkêº
2019,4,26,9.6,12.2,7.9,12.5,0,3.5,0,0.0,0,,0,1,3.7,9.4,ìåìÏìå
2019,4,27,8.3,10.0,5.9,12.0,0,4.0,0,0.1,0,,0,1,5.5,9.2,ñkñkêº
2019,4,28,9.2,12.7,5.7,0.0,0,1.0,0,10.5,0,,0,1,3.8,7.1,êºìÏêº
2019,4,29,12.6,18.9,4.1,0,1,0,1,11.7,0,,0,1,2.6,5.0,êºñkêº
2019,4,30,14.4,16.6,11.8,4.0,0,1.5,0,0.0,0,,0,1,4.8,8.6,ìåìÏìå
2019,5,1,14.2,18.2,11.3,0.5,0,0.5,0,0.7,0,,0,1,2.9,6.1,ñkñkêº
2019,5,2,13.4,16.6,11.0,0.0,0,0.0,0,10.4,0,,0,1,6.4,11.9,êºìÏêº
2019,5,3,12.6,16.4,8.3,0,1,0,1,13.0,0,,0,1,2.5,6.0,ñkêº
2019,5,4,12.0,17.4,5.7,0,1,0,1,13.4,0,,0,1,2.5,5.6,ñkñkêº
2019,5,5,15.6,23.3,6.6,0,1,0,1,13.0,0,,0,1,2.6,5.1,ìÏìå
2019,5,6,16.9,24.7,11.0,3.0,0,2.0,0,5.2,0,,0,1,3.6,7.1,ñkêº
2019,5,7,12.4,15.7,9.7,0.0,0,0.0,0,9.1,0,,0,1,6.9,10.2,êºìÏêº
2019,5,8,14.8,18.8,10.8,0,1,0,1,12.8,0,,0,1,7.7,12.2,ìÏêº
2019,5,9,15.8,22.5,9.1,0,1,0,1,8.7,0,,0,1,4.2,10.0,ìÏêº
2019,5,10,15.2,19.1,10.9,0,1,0,1,9.5,0,,0,1,3.5,6.9,êºìÏêº
2019,5,11,14.6,20.7,9.4,0,1,0,1,11.1,0,,0,1,2.6,5.6,ñkñkêº
2019,5,12,13.6,17.5,9.5,0,1,0,1,13.5,0,,0,1,2.8,7.1,ñkñkêº
2019,5,13,14.4,19.2,8.0,0,1,0,1,12.9,0,,0,1,3.2,5.7,ñkñkêº
2019,5,14,16.3,23.3,12.1,1.5,0,1.0,0,4.5,0,,0,1,3.4,5.2,êºìÏêº
2019,5,15,17.3,21.7,13.0,0.5,0,1.0,0,11.7,0,,0,1,3.0,5.6,êºñkêº
2019,5,16,19.0,24.0,14.0,0,1,0,1,13.2,0,,0,1,3.4,5.8,ñkñkêº
2019,5,17,20.5,25.9,15.1,0,1,0,1,13.1,0,,0,1,3.4,5.0,ìåìÏìå
2019,5,18,21.6,27.9,16.2,0,1,0,1,10.8,0,,0,1,5.0,7.8,ìå
2019,5,19,21.7,27.6,16.8,0,1,0,1,12.3,0,,0,1,5.8,9.8,ìåìÏìå
2019,5,20,22.5,28.6,17.0,0,1,0,1,11.2,0,,0,1,8.1,11.8,ìåìÏìå
2019,5,21,17.3,20.9,13.7,19.0,0,4.0,0,1.4,0,,0,1,4.6,8.6,ìåìÏìå
2019,5,22,16.9,22.0,11.3,0,1,0,1,13.6,0,,0,1,2.7,6.4,êºìÏêº
2019,5,23,18.2,24.6,11.0,0,1,0,1,13.2,0,,0,1,2.9,5.0,êºìÏêº
2019,5,24,17.1,22.0,11.8,0,1,0,1,11.7,0,,0,1,3.3,7.7,êº
2019,5,25,20.6,27.2,12.9,0,1,0,1,13.6,0,,0,1,2.6,4.2,ìÏìå
2019,5,26,22.0,29.3,14.7,0,1,0,1,13.2,0,,0,1,2.7,4.7,ìÏìå
2019,5,27,23.9,29.8,16.8,0,1,0,1,12.5,0,,0,1,2.6,5.5,êºñkêº
2019,5,28,19.3,23.1,14.7,8.0,0,3.5,0,0.0,0,,0,1,2.8,7.3,ìÏêº
2019,5,29,17.0,20.6,14.1,12.5,0,6.5,0,8.8,0,,0,1,3.7,7.6,êº
2019,5,30,18.5,23.6,12.1,0,1,0,1,11.6,0,,0,1,3.7,8.9,ìÏêº
2019,5,31,18.5,24.7,15.5,1.5,0,1.0,0,2.6,0,,0,1,3.2,7.5,êºìÏêº
2019,6,1,18.1,22.4,14.0,3.0,0,2.5,0,8.9,0,,0,1,3.0,8.2,ìÏêº
2019,6,2,19.9,25.9,13.4,0,1,0,1,14.0,0,,0,1,2.8,5.8,ñkñkêº
2019,6,3,21.0,25.4,15.9,0,1,0,1,13.4,0,,0,1,2.6,4.6,êºñkêº
2019,6,4,21.8,27.1,15.3,0,1,0,1,13.5,0,,0,1,2.3,4.9,êº
2019,6,5,22.2,28.7,16.8,0.0,0,0.0,0,10.8,0,,0,1,3.0,6.6,êº
2019,6,6,19.4,21.3,16.7,0.0,0,0.0,0,3.6,0,,0,1,2.7,4.6,êºñkêº
2019,6,7,20.0,25.6,16.3,0.5,0,0.5,0,0.7,0,,0,1,3.0,5.7,ìÏìå
2019,6,8,19.8,22.7,18.2,9.0,0,6.0,0,2.2,0,,0,1,2.5,4.4,ìå
2019,6,9,20.5,26.0,16.8,0,1,0,1,4.2,0,,0,1,5.1,9.1,ìåìÏìå
2019,6,10,18.9,23.6,15.5,0,1,0,1,9.9,0,,0,1,7.5,11.2,ìåìÏìå
2019,6,11,18.8,23.2,15.9,0.0,0,0.0,0,5.7,0,,0,1,6.3,10.1,ìåìÏìå
2019,6,12,18.7,23.8,15.3,0,1,0,1,8.5,0,,0,1,3.8,6.2,ñkñkêº
2019,6,13,18.0,21.9,13.5,0,1,0,1,12.8,0,,0,1,2.1,4.3,ñkêº
2019,6,14,22.7,29.3,14.3,0,1,0,1,11.0,0,,0,1,3.6,7.0,ìåìÏìå
2019,6,15,20.6,22.4,17.9,0.5,0,0.5,0,0.0,0,,0,1,8.7,14.1,ìåìÏìå
2019,6,16,18.0,20.7,14.8,30.5,0,7.0,0,0.0,0,,0,1,7.6,13.5,ìÏêº
2019,6,17,16.1,18.0,14.0,6.0,0,3.0,0,0.1,0,,0,1,5.7,9.4,êºñkêº
2019,6,18,18.3,23.1,14.1,0.0,0,0.0,0,7.8,0,,0,1,2.3,5.1,êºñkêº
2019,6,19,18.2,22.2,15.8,11.5,0,4.5,0,1.1,0,,0,1,2.0,5.5,êºìÏêº
2019,6,20,19.6,24.5,14.4,0,1,0,1,13.6,0,,0,1,2.0,5.7,êºñkêº
2019,6,21,22.8,28.9,16.3,0,1,0,1,11.3,0,,0,1,2.8,4.8,ìåìÏìå
2019,6,22,21.6,26.5,18.5,20.0,0,11.5,0,0.4,0,,0,1,3.2,6.0,ìåìÏìå
2019,6,23,20.9,24.2,18.6,1.0,0,1.0,0,5.4,0,,0,1,2.8,5.0,êºìÏêº
2019,6,24,19.9,22.2,18.1,17.5,0,3.5,0,0.0,0,,0,1,1.8,3.7,ìåìÏìå
2019,6,25,20.4,23.9,17.6,2.5,0,2.0,0,8.7,0,,0,1,2.0,4.4,êºñkêº
2019,6,26,22.0,26.6,16.5,0,1,0,1,13.6,0,,0,1,2.4,4.5,êºñkêº
2019,6,27,21.1,25.8,18.0,36.5,0,9.5,0,0.0,0,,0,1,2.7,6.6,êºñkêº
2019,6,28,21.5,24.1,20.1,21.0,0,8.0,0,3.2,0,,0,1,3.2,8.2,êºìÏêº
