ダウンロードした時刻：2023/09/12 07:56:26

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
2023,7,18,27.9,8,1,27.7,8,25.4,8,1,24.0,8,24.2,8,1,20.9,8,7.0,0,8,1,7.2,,8,24.3,8,1,26.3,8,23.4,8,1,22.5,8,22.9,8,1,20.0,8,5.0,8,1,5.4,8
2023,7,19,25.3,8,1,27.9,8,23.6,8,1,24.1,8,21.9,8,1,21.0,8,28.0,0,8,1,6.9,,8,23.5,8,1,26.5,8,22.2,8,1,22.7,8,20.8,8,1,20.1,8,23.0,8,1,5.2,8
2023,7,20,26.7,8,1,28.1,8,23.7,8,1,24.3,8,21.5,8,1,21.1,8,0.5,0,8,1,6.6,,8,26.6,8,1,26.7,8,22.6,8,1,22.9,8,20.4,8,1,20.3,8,0.5,8,1,4.9,8
2023,7,21,29.1,8,1,28.3,8,25.1,8,1,24.5,8,20.9,8,1,21.3,8,0,1,8,1,6.2,,8,27.1,8,1,26.9,8,23.2,8,1,23.1,8,20.6,8,1,20.5,8,0.0,8,1,4.6,8
2023,7,22,30.4,8,1,28.5,8,26.2,8,1,24.7,8,21.7,8,1,21.4,8,0,1,8,1,5.9,,8,28.7,8,1,27.1,8,24.2,8,1,23.2,8,21.6,8,1,20.6,8,0.0,8,1,4.4,8
2023,7,23,32.8,8,1,28.8,8,27.5,8,1,24.8,8,23.4,8,1,21.6,8,0,1,8,1,5.6,,8,30.8,8,1,27.3,8,25.8,8,1,23.4,8,22.8,8,1,20.8,8,0.0,8,1,4.1,8
2023,7,24,33.2,8,1,29.0,8,27.9,8,1,25.0,8,23.9,8,1,21.7,8,0,1,8,1,5.3,,8,31.6,8,1,27.5,8,26.5,8,1,23.6,8,23.7,8,1,21.0,8,0.0,8,1,3.9,8
2023,7,25,33.4,8,1,29.2,8,28.1,8,1,25.2,8,23.4,8,1,21.9,8,0,1,8,1,5.1,,8,31.3,8,1,27.7,8,26.9,8,1,23.8,8,23.4,8,1,21.1,8,0.0,8,1,3.7,8
2023,7,26,32.3,8,1,29.4,8,28.0,8,1,25.4,8,24.1,8,1,22.0,8,0,1,8,1,5.0,,8,30.9,8,1,27.8,8,27.1,8,1,23.9,8,25.2,8,1,21.3,8,0.0,8,1,3.5,8
2023,7,27,31.8,8,1,29.6,8,27.7,8,1,25.5,8,23.8,8,1,22.1,8,0,1,8,1,4.8,,8,31.7,5,1,28.0,8,26.9,5,1,24.1,8,25.0,5,1,21.4,8,0.0,5,1,3.3,8
2023,7,28,32.4,8,1,29.8,8,27.9,8,1,25.7,8,24.0,8,1,22.3,8,0,1,8,1,4.7,,8,31.7,8,1,28.2,8,27.0,8,1,24.2,8,24.9,8,1,21.6,8,0.0,8,1,3.1,8
2023,7,29,33.0,8,1,29.9,8,28.1,8,1,25.8,8,23.2,8,1,22.4,8,0,1,8,1,4.6,,8,32.5,8,1,28.3,8,27.2,8,1,24.4,8,24.4,8,1,21.7,8,0.0,8,1,3.0,8
2023,7,30,33.2,8,1,30.0,8,28.6,8,1,25.9,8,23.3,8,1,22.4,8,0,1,8,1,4.5,,8,32.5,8,1,28.4,8,28.1,8,1,24.5,8,24.5,8,1,21.8,8,0.0,8,1,2.9,8
2023,7,31,33.0,8,1,30.1,8,28.4,8,1,26.0,8,24.9,8,1,22.5,8,0.0,0,8,1,4.5,,8,32.0,8,1,28.6,8,27.7,8,1,24.6,8,24.8,8,1,21.9,8,0.0,8,1,2.9,8
2023,8,1,31.8,8,1,30.2,8,27.6,8,1,26.0,8,24.0,8,1,22.6,8,0.0,0,8,1,4.5,,8,32.3,8,1,28.7,8,26.8,8,1,24.7,8,24.4,8,1,21.9,8,0.0,8,1,2.9,8
2023,8,2,33.2,8,1,30.3,8,28.6,8,1,26.1,8,24.0,8,1,22.6,8,0,1,8,1,4.5,,8,31.5,8,1,28.7,8,27.4,8,1,24.7,8,24.5,8,1,22.0,8,0.0,8,1,2.9,8
2023,8,3,35.1,8,1,30.3,8,29.4,8,1,26.1,8,25.7,8,1,22.6,8,0,1,8,1,4.6,,8,32.4,8,1,28.8,8,28.0,8,1,24.8,8,25.7,8,1,22.0,8,0.0,8,1,3.0,8
2023,8,4,34.3,8,1,30.3,8,29.1,8,1,26.2,8,24.7,8,1,22.6,8,0,1,8,1,4.6,,8,33.0,8,1,28.9,8,28.2,8,1,24.8,8,25.7,8,1,22.1,8,0.0,8,1,3.2,8
2023,8,5,34.7,8,1,30.3,8,29.9,8,1,26.2,8,25.0,8,1,22.6,8,0,1,8,1,4.8,,8,34.0,8,1,28.9,8,28.5,8,1,24.8,8,25.9,8,1,22.1,8,0.0,8,1,3.3,8
2023,8,6,34.5,8,1,30.3,8,30.1,8,1,26.1,8,26.3,8,1,22.6,8,0,1,8,1,4.9,,8,33.3,8,1,28.9,8,28.6,8,1,24.9,8,26.4,8,1,22.1,8,0.0,8,1,3.5,8
2023,8,7,36.2,8,1,30.3,8,30.1,8,1,26.1,8,26.2,8,1,22.6,8,0.0,0,8,1,5.1,,8,33.0,8,1,28.9,8,28.8,8,1,24.9,8,26.5,8,1,22.0,8,0.0,8,1,3.8,8
2023,8,8,36.7,8,1,30.2,8,31.3,8,1,26.1,8,26.8,8,1,22.6,8,0,1,8,1,5.3,,8,32.0,8,1,28.9,8,29.4,8,1,24.8,8,26.9,8,1,22.0,8,0.0,8,1,4.0,8
2023,8,9,38.1,8,1,30.2,8,32.4,8,1,26.0,8,28.0,8,1,22.5,8,0,1,8,1,5.6,,8,33.4,8,1,28.9,8,30.1,8,1,24.8,8,27.1,8,1,22.0,8,0.0,8,1,4.3,8
2023,8,10,36.9,8,1,30.1,8,31.6,8,1,26.0,8,27.6,8,1,22.5,8,0,1,8,1,5.8,,8,32.4,8,1,28.8,8,29.2,8,1,24.8,8,27.4,8,1,22.0,8,0.0,8,1,4.6,8
2023,8,11,36.9,8,1,30.1,8,31.0,8,1,25.9,8,26.0,8,1,22.4,8,0,1,8,1,6.1,,8,33.9,8,1,28.8,8,28.4,8,1,24.8,8,25.6,8,1,21.9,8,0.0,8,1,4.8,8
2023,8,12,29.2,8,1,30.0,8,25.8,8,1,25.9,8,24.6,8,1,22.4,8,7.5,0,8,1,6.3,,8,27.1,8,1,28.8,8,25.5,8,1,24.7,8,24.1,8,1,21.9,8,6.0,8,1,5.1,8
2023,8,13,35.0,8,1,30.0,8,29.6,8,1,25.8,8,24.7,8,1,22.3,8,0,1,8,1,6.6,,8,32.7,8,1,28.7,8,27.5,8,1,24.7,8,24.3,8,1,21.8,8,1.5,8,1,5.3,8
2023,8,14,36.6,8,1,29.9,8,31.4,8,1,25.8,8,27.7,8,1,22.3,8,0,1,8,1,6.8,,8,32.9,8,1,28.7,8,29.5,8,1,24.6,8,27.1,8,1,21.8,8,0.0,8,1,5.5,8
2023,8,15,35.8,8,1,29.9,8,31.4,8,1,25.7,8,27.6,8,1,22.2,8,0,1,8,1,7.0,,8,31.7,8,1,28.6,8,29.5,8,1,24.6,8,27.8,8,1,21.7,8,0.0,8,1,5.6,8
2023,8,16,36.2,8,1,29.8,8,30.9,8,1,25.6,8,27.0,8,1,22.1,8,2.0,0,8,1,7.1,,8,31.0,8,1,28.6,8,28.9,8,1,24.5,8,26.4,8,1,21.7,8,1.0,8,1,5.8,8
2023,8,17,32.5,8,1,29.8,8,28.9,8,1,25.6,8,26.0,8,1,22.1,8,3.5,0,8,1,7.2,,8,32.6,8,1,28.5,8,28.1,8,1,24.5,8,26.1,8,1,21.6,8,0.0,8,1,5.9,8
2023,8,18,33.8,8,1,29.7,8,29.6,8,1,25.5,8,26.4,8,1,22.0,8,0,1,8,1,7.3,,8,31.1,8,1,28.5,8,27.9,8,1,24.4,8,26.0,8,1,21.6,8,0.0,8,1,6.0,8
2023,8,19,33.0,8,1,29.6,8,29.5,8,1,25.4,8,26.9,8,1,21.9,8,0,1,8,1,7.4,,8,32.9,8,1,28.4,8,28.5,8,1,24.3,8,26.0,8,1,21.5,8,0.0,8,1,6.1,8
2023,8,20,33.4,8,1,29.6,8,29.2,8,1,25.3,8,25.3,8,1,21.8,8,0,1,8,1,7.4,,8,32.3,8,1,28.3,8,28.1,8,1,24.3,8,25.5,8,1,21.4,8,0.0,8,1,6.1,8
2023,8,21,34.1,8,1,29.5,8,30.0,8,1,25.2,8,25.8,8,1,21.7,8,0,1,8,1,7.4,,8,31.7,8,1,28.3,8,28.4,8,1,24.2,8,25.8,8,1,21.3,8,0.0,8,1,6.1,8
2023,8,22,37.5,8,1,29.4,8,31.6,8,1,25.1,8,27.1,8,1,21.6,8,0,1,8,1,7.4,,8,34.7,8,1,28.2,8,29.6,8,1,24.1,8,26.5,8,1,21.3,8,0.0,8,1,6.2,8
2023,8,23,38.8,8,1,29.3,8,32.6,8,1,25.1,8,27.7,8,1,21.5,8,0,1,8,1,7.3,,8,36.0,8,1,28.1,8,30.5,8,1,24.0,8,27.5,8,1,21.2,8,0.0,8,1,6.2,8
2023,8,24,37.5,8,1,29.2,8,31.7,8,1,24.9,8,27.7,8,1,21.3,8,0,1,8,1,7.3,,8,35.9,8,1,28.0,8,29.8,8,1,24.0,8,27.1,8,1,21.1,8,0.0,8,1,6.1,8
2023,8,25,35.3,8,1,29.1,8,30.8,8,1,24.8,8,27.6,8,1,21.2,8,0,1,8,1,7.3,,8,35.0,8,1,27.9,8,29.4,8,1,23.9,8,27.0,8,1,21.0,8,0.0,8,1,6.1,8
2023,8,26,34.9,8,1,29.0,8,30.4,8,1,24.7,8,27.0,8,1,21.1,8,0,1,8,1,7.3,,8,33.8,8,1,27.8,8,29.0,8,1,23.8,8,26.7,8,1,20.9,8,0.0,8,1,6.0,8
2023,8,27,35.8,8,1,28.9,8,29.9,8,1,24.6,8,25.8,8,1,21.0,8,0,1,8,1,7.3,,8,33.5,8,1,27.7,8,28.8,8,1,23.7,8,26.5,8,1,20.8,8,0.0,8,1,5.9,8
2023,8,28,32.8,8,1,28.9,8,28.6,8,1,24.5,8,24.2,8,1,20.9,8,0,1,8,1,7.2,,8,32.7,8,1,27.6,8,28.0,8,1,23.6,8,24.9,8,1,20.7,8,0.0,8,1,5.8,8
2023,8,29,35.2,8,1,28.8,8,29.5,8,1,24.5,8,24.9,8,1,20.8,8,0,1,8,1,7.1,,8,33.0,8,1,27.5,8,28.1,8,1,23.6,8,25.8,8,1,20.7,8,0.0,8,1,5.7,8
2023,8,30,37.3,8,1,28.7,8,30.4,8,1,24.4,8,26.4,8,1,20.7,8,0,1,8,1,7.0,,8,35.0,8,1,27.4,8,29.2,8,1,23.5,8,26.5,8,1,20.6,8,0.0,8,1,5.5,8
2023,8,31,37.1,8,1,28.6,8,30.8,8,1,24.3,8,26.9,8,1,20.6,8,0,1,5,1,6.9,,8,34.6,8,1,27.3,8,29.5,8,1,23.4,8,26.4,8,1,20.5,8,0.0,8,1,5.4,8
2023,9,1,34.8,5,1,28.5,8,29.4,8,1,24.2,8,25.4,5,1,20.5,8,0,1,8,1,6.8,,8,32.8,8,1,27.2,8,28.0,8,1,23.3,8,24.2,8,1,20.4,8,8.0,8,1,5.2,8
2023,9,2,26.1,8,1,28.4,8,25.0,8,1,24.1,8,23.5,8,1,20.4,8,17.5,0,8,1,6.7,,8,26.9,8,1,27.1,8,24.1,8,1,23.2,8,22.5,8,1,20.3,8,8.5,8,1,5.1,8
2023,9,3,31.7,8,1,28.2,8,27.2,8,1,24.0,8,22.1,8,1,20.3,8,0,1,8,1,6.6,,8,28.5,8,1,27.0,8,26.1,8,1,23.1,8,22.8,8,1,20.2,8,0.0,8,1,5.0,8
2023,9,4,34.5,8,1,28.1,8,28.9,8,1,23.8,8,25.4,8,1,20.2,8,0,1,8,1,6.5,,8,30.0,8,1,26.8,8,28.0,8,1,23.0,8,25.0,8,1,20.1,8,0.0,8,1,4.9,8
2023,9,5,32.4,8,1,27.9,8,28.5,8,1,23.7,8,25.9,8,1,20.1,8,0.0,0,8,1,6.4,,8,30.4,8,1,26.7,8,27.6,8,1,22.8,8,25.9,8,1,19.9,8,0.0,8,1,4.9,8
2023,9,6,27.5,8,1,27.8,8,24.9,8,1,23.5,8,21.7,8,1,19.9,8,63.5,0,8,1,6.4,,8,26.5,8,1,26.5,8,24.7,8,1,22.7,8,22.4,8,1,19.8,8,23.5,8,1,4.9,8
2023,9,7,28.3,8,1,27.6,8,23.9,8,1,23.4,8,20.6,8,1,19.8,8,0,1,8,1,6.4,,8,27.1,8,1,26.4,8,23.4,8,1,22.5,8,20.4,8,1,19.6,8,0.0,8,1,4.9,8
2023,9,8,27.9,8,1,27.4,8,24.9,8,1,23.2,8,21.2,8,1,19.6,8,0.0,0,8,1,6.4,,8,26.3,8,1,26.2,8,24.6,8,1,22.4,8,21.8,8,1,19.5,8,1.0,8,1,5.0,8
2023,9,9,31.0,8,1,27.2,8,27.2,8,1,23.0,8,23.9,8,1,19.4,8,0,1,8,1,6.5,,8,31.5,8,1,26.0,8,26.5,8,1,22.2,8,23.2,8,1,19.3,8,0.0,8,1,5.1,8
2023,9,10,31.6,8,1,27.0,8,27.7,8,1,22.8,8,24.2,8,1,19.2,8,0.0,0,8,1,6.6,,8,29.8,8,1,25.8,8,26.6,8,1,22.0,8,24.3,8,1,19.1,8,0.0,8,1,5.2,8
2023,9,11,35.3,8,1,26.7,8,29.4,8,1,22.6,8,25.3,8,1,19.0,8,0,1,8,1,6.7,,8,32.9,8,1,25.7,8,27.8,8,1,21.8,8,25.6,8,1,19.0,8,0.0,8,1,5.3,8
