ダウンロードした時刻：2023/09/12 09:03:16

,,,飛島,飛島,飛島
1939,9,2,,0,1
1939,9,3,,0,1
1939,9,4,,0,1
1939,9,5,,0,1
1939,9,6,,0,1
1939,9,7,,0,1
1939,9,8,,0,1
1939,9,9,,0,1
1939,9,10,,0,1
1939,9,11,,0,1
1939,9,12,,0,1
1939,9,13,,0,1
1939,9,14,,0,1
1939,9,15,,0,1
1940,7,1,,0,1
1940,7,2,,0,1
1940,7,3,,0,1
1940,7,4,,0,1
1940,7,5,,0,1
1940,7,6,,0,1
1940,7,7,,0,1
1940,7,8,,0,1
1940,7,9,,0,1
1940,7,10,,0,1
1940,7,11,,0,1
1940,7,12,,0,1
1940,7,13,,0,1
1940,7,14,,0,1
1940,7,15,,0,1
1940,7,16,,0,1
1940,7,17,,0,1
1940,7,18,,0,1
1940,7,19,,0,1
1940,7,20,,0,1
1940,7,21,,0,1
1940,7,22,,0,1
1940,7,23,,0,1
1940,7,24,,0,1
1940,7,25,,0,1
1940,7,26,,0,1
1940,7,27,,0,1
1940,7,28,,0,1
1940,7,29,,0,1
1940,7,30,,0,1
1940,7,31,,0,1
1940,8,1,,0,1
1940,8,2,,0,1
1940,8,3,,0,1
1940,8,4,,0,1
1940,8,5,,0,1
1940,8,6,,0,1
1940,8,7,,0,1
1940,8,8,,0,1
1940,8,9,,0,1
1940,8,10,,0,1
1940,8,11,,0,1
1940,8,12,,0,1
1940,8,13,,0,1
1940,8,14,,0,1
1940,8,15,,0,1
1940,8,16,,0,1
1940,8,17,,0,1
1940,8,18,,0,1
1940,8,19,,0,1
1940,8,20,,0,1
1940,8,21,,0,1
1940,8,22,,0,1
1940,8,23,,0,1
1940,8,24,,0,1
1940,8,25,,0,1
1940,8,26,,0,1
1940,8,27,,0,1
1940,8,28,,0,1
1940,8,29,,0,1
1940,8,30,,0,1
1940,8,31,,0,1
1940,9,1,,0,1
1940,9,2,,0,1
1940,9,3,,0,1
1940,9,4,,0,1
1940,9,5,,0,1
1940,9,6,,0,1
1940,9,7,,0,1
1940,9,8,,0,1
1940,9,9,,0,1
1940,9,10,,0,1
1940,9,11,,0,1
1940,9,12,,0,1
1940,9,13,,0,1
1940,9,14,,0,1
1940,9,15,,0,1
1941,7,1,,0,1
1941,7,2,,0,1
1941,7,3,,0,1
1941,7,4,,0,1
1941,7,5,,0,1
1941,7,6,,0,1
1941,7,7,,0,1
1941,7,8,,0,1
1941,7,9,,0,1
1941,7,10,,0,1
1941,7,11,,0,1
1941,7,12,,0,1
1941,7,13,,0,1
1941,7,14,,0,1
1941,7,15,,0,1
1941,7,16,,0,1
1941,7,17,,0,1
1941,7,18,,0,1
1941,7,19,,0,1
1941,7,20,,0,1
1941,7,21,,0,1
1941,7,22,,0,1
1941,7,23,,0,1
1941,7,24,,0,1
1941,7,25,,0,1
1941,7,26,,0,1
1941,7,27,,0,1
1941,7,28,,0,1
1941,7,29,,0,1
1941,7,30,,0,1
1941,7,31,,0,1
1941,8,1,,0,1
1941,8,2,,0,1
1941,8,3,,0,1
1941,8,4,,0,1
1941,8,5,,0,1
1941,8,6,,0,1
1941,8,7,,0,1
1941,8,8,,0,1
1941,8,9,,0,1
1941,8,10,,0,1
1941,8,11,,0,1
1941,8,12,,0,1
1941,8,13,,0,1
1941,8,14,,0,1
1941,8,15,,0,1
1941,8,16,,0,1
1941,8,17,,0,1
1941,8,18,,0,1
1941,8,19,,0,1
1941,8,20,,0,1
1941,8,21,,0,1
1941,8,22,,0,1
1941,8,23,,0,1
1941,8,24,,0,1
1941,8,25,,0,1
1941,8,26,,0,1
1941,8,27,,0,1
1941,8,28,,0,1
1941,8,29,,0,1
1941,8,30,,0,1
1941,8,31,,0,1
1941,9,1,,0,1
1941,9,2,,0,1
1941,9,3,,0,1
1941,9,4,,0,1
1941,9,5,,0,1
1941,9,6,,0,1
1941,9,7,,0,1
1941,9,8,,0,1
1941,9,9,,0,1
1941,9,10,,0,1
1941,9,11,,0,1
1941,9,12,,0,1
1941,9,13,,0,1
1941,9,14,,0,1
1941,9,15,,0,1
1942,7,1,,0,1
1942,7,2,,0,1
1942,7,3,,0,1
1942,7,4,,0,1
1942,7,5,,0,1
1942,7,6,,0,1
1942,7,7,,0,1
1942,7,8,,0,1
1942,7,9,,0,1
1942,7,10,,0,1
1942,7,11,,0,1
1942,7,12,,0,1
1942,7,13,,0,1
1942,7,14,,0,1
1942,7,15,,0,1
1942,7,16,,0,1
1942,7,17,,0,1
1942,7,18,,0,1
1942,7,19,,0,1
1942,7,20,,0,1
1942,7,21,,0,1
1942,7,22,,0,1
1942,7,23,,0,1
1942,7,24,,0,1
1942,7,25,,0,1
1942,7,26,,0,1
1942,7,27,,0,1
1942,7,28,,0,1
1942,7,29,,0,1
1942,7,30,,0,1
1942,7,31,,0,1
1942,8,1,,0,1
1942,8,2,,0,1
1942,8,3,,0,1
1942,8,4,,0,1
1942,8,5,,0,1
1942,8,6,,0,1
1942,8,7,,0,1
1942,8,8,,0,1
1942,8,9,,0,1
1942,8,10,,0,1
1942,8,11,,0,1
1942,8,12,,0,1
1942,8,13,,0,1
1942,8,14,,0,1
1942,8,15,,0,1
1942,8,16,,0,1
1942,8,17,,0,1
1942,8,18,,0,1
1942,8,19,,0,1
1942,8,20,,0,1
1942,8,21,,0,1
1942,8,22,,0,1
1942,8,23,,0,1
1942,8,24,,0,1
1942,8,25,,0,1
1942,8,26,,0,1
1942,8,27,,0,1
1942,8,28,,0,1
1942,8,29,,0,1
1942,8,30,,0,1
1942,8,31,,0,1
1942,9,1,,0,1
1942,9,2,,0,1
1942,9,3,,0,1
1942,9,4,,0,1
1942,9,5,,0,1
1942,9,6,,0,1
1942,9,7,,0,1
1942,9,8,,0,1
1942,9,9,,0,1
1942,9,10,,0,1
1942,9,11,,0,1
1942,9,12,,0,1
1942,9,13,,0,1
1942,9,14,,0,1
1942,9,15,,0,1
1943,7,1,,0,1
1943,7,2,,0,1
1943,7,3,,0,1
1943,7,4,,0,1
1943,7,5,,0,1
1943,7,6,,0,1
1943,7,7,,0,1
1943,7,8,,0,1
1943,7,9,,0,1
1943,7,10,,0,1
1943,7,11,,0,1
1943,7,12,,0,1
1943,7,13,,0,1
1943,7,14,,0,1
1943,7,15,,0,1
1943,7,16,,0,1
1943,7,17,,0,1
1943,7,18,,0,1
1943,7,19,,0,1
1943,7,20,,0,1
1943,7,21,,0,1
1943,7,22,,0,1
1943,7,23,,0,1
1943,7,24,,0,1
1943,7,25,,0,1
1943,7,26,,0,1
1943,7,27,,0,1
1943,7,28,,0,1
1943,7,29,,0,1
1943,7,30,,0,1
1943,7,31,,0,1
1943,8,1,,0,1
1943,8,2,,0,1
1943,8,3,,0,1
1943,8,4,,0,1
1943,8,5,,0,1
1943,8,6,,0,1
1943,8,7,,0,1
1943,8,8,,0,1
1943,8,9,,0,1
1943,8,10,,0,1
1943,8,11,,0,1
1943,8,12,,0,1
1943,8,13,,0,1
1943,8,14,,0,1
1943,8,15,,0,1
1943,8,16,,0,1
1943,8,17,,0,1
1943,8,18,,0,1
1943,8,19,,0,1
1943,8,20,,0,1
1943,8,21,,0,1
1943,8,22,,0,1
1943,8,23,,0,1
1943,8,24,,0,1
1943,8,25,,0,1
1943,8,26,,0,1
1943,8,27,,0,1
1943,8,28,,0,1
1943,8,29,,0,1
1943,8,30,,0,1
1943,8,31,,0,1
1943,9,1,,0,1
1943,9,2,,0,1
1943,9,3,,0,1
1943,9,4,,0,1
1943,9,5,,0,1
1943,9,6,,0,1
1943,9,7,,0,1
1943,9,8,,0,1
1943,9,9,,0,1
1943,9,10,,0,1
1943,9,11,,0,1
1943,9,12,,0,1
1943,9,13,,0,1
1943,9,14,,0,1
1943,9,15,,0,1
1944,7,1,,0,1
1944,7,2,,0,1
1944,7,3,,0,1
1944,7,4,,0,1
1944,7,5,,0,1
1944,7,6,,0,1
1944,7,7,,0,1
1944,7,8,,0,1
1944,7,9,,0,1
1944,7,10,,0,1
1944,7,11,,0,1
1944,7,12,,0,1
1944,7,13,,0,1
1944,7,14,,0,1
1944,7,15,,0,1
1944,7,16,,0,1
1944,7,17,,0,1
1944,7,18,,0,1
1944,7,19,,0,1
1944,7,20,,0,1
1944,7,21,,0,1
1944,7,22,,0,1
1944,7,23,,0,1
1944,7,24,,0,1
1944,7,25,,0,1
1944,7,26,,0,1
1944,7,27,,0,1
1944,7,28,,0,1
1944,7,29,,0,1
1944,7,30,,0,1
1944,7,31,,0,1
1944,8,1,,0,1
1944,8,2,,0,1
1944,8,3,,0,1
1944,8,4,,0,1
1944,8,5,,0,1
1944,8,6,,0,1
1944,8,7,,0,1
1944,8,8,,0,1
1944,8,9,,0,1
1944,8,10,,0,1
1944,8,11,,0,1
1944,8,12,,0,1
1944,8,13,,0,1
1944,8,14,,0,1
1944,8,15,,0,1
1944,8,16,,0,1
1944,8,17,,0,1
1944,8,18,,0,1
1944,8,19,,0,1
1944,8,20,,0,1
1944,8,21,,0,1
1944,8,22,,0,1
1944,8,23,,0,1
1944,8,24,,0,1
1944,8,25,,0,1
1944,8,26,,0,1
1944,8,27,,0,1
1944,8,28,,0,1
1944,8,29,,0,1
1944,8,30,,0,1
1944,8,31,,0,1
1944,9,1,,0,1
1944,9,2,,0,1
1944,9,3,,0,1
1944,9,4,,0,1
1944,9,5,,0,1
1944,9,6,,0,1
1944,9,7,,0,1
1944,9,8,,0,1
1944,9,9,,0,1
1944,9,10,,0,1
1944,9,11,,0,1
1944,9,12,,0,1
1944,9,13,,0,1
1944,9,14,,0,1
1944,9,15,,0,1
1945,7,1,,0,1
1945,7,2,,0,1
1945,7,3,,0,1
1945,7,4,,0,1
1945,7,5,,0,1
1945,7,6,,0,1
1945,7,7,,0,1
1945,7,8,,0,1
1945,7,9,,0,1
1945,7,10,,0,1
1945,7,11,,0,1
1945,7,12,,0,1
1945,7,13,,0,1
1945,7,14,,0,1
1945,7,15,,0,1
1945,7,16,,0,1
1945,7,17,,0,1
1945,7,18,,0,1
1945,7,19,,0,1
1945,7,20,,0,1
1945,7,21,,0,1
1945,7,22,,0,1
1945,7,23,,0,1
1945,7,24,,0,1
1945,7,25,,0,1
1945,7,26,,0,1
1945,7,27,,0,1
1945,7,28,,0,1
1945,7,29,,0,1
1945,7,30,,0,1
1945,7,31,,0,1
1945,8,1,,0,1
1945,8,2,,0,1
1945,8,3,,0,1
1945,8,4,,0,1
1945,8,5,,0,1
1945,8,6,,0,1
1945,8,7,,0,1
1945,8,8,,0,1
1945,8,9,,0,1
1945,8,10,,0,1
1945,8,11,,0,1
1945,8,12,,0,1
1945,8,13,,0,1
1945,8,14,,0,1
1945,8,15,,0,1
1945,8,16,,0,1
1945,8,17,,0,1
1945,8,18,,0,1
1945,8,19,,0,1
1945,8,20,,0,1
1945,8,21,,0,1
1945,8,22,,0,1
1945,8,23,,0,1
1945,8,24,,0,1
1945,8,25,,0,1
1945,8,26,,0,1
1945,8,27,,0,1
1945,8,28,,0,1
1945,8,29,,0,1
1945,8,30,,0,1
1945,8,31,,0,1
1945,9,1,,0,1
1945,9,2,,0,1
1945,9,3,,0,1
1945,9,4,,0,1
1945,9,5,,0,1
1945,9,6,,0,1
1945,9,7,,0,1
1945,9,8,,0,1
1945,9,9,,0,1
1945,9,10,,0,1
1945,9,11,,0,1
1945,9,12,,0,1
1945,9,13,,0,1
1945,9,14,,0,1
1945,9,15,,0,1
1946,7,1,,0,1
1946,7,2,,0,1
1946,7,3,,0,1
1946,7,4,,0,1
1946,7,5,,0,1
1946,7,6,,0,1
1946,7,7,,0,1
1946,7,8,,0,1
1946,7,9,,0,1
1946,7,10,,0,1
1946,7,11,,0,1
1946,7,12,,0,1
1946,7,13,,0,1
1946,7,14,,0,1
1946,7,15,,0,1
1946,7,16,,0,1
1946,7,17,,0,1
1946,7,18,,0,1
1946,7,19,,0,1
1946,7,20,,0,1
1946,7,21,,0,1
1946,7,22,,0,1
1946,7,23,,0,1
1946,7,24,,0,1
1946,7,25,,0,1
1946,7,26,,0,1
1946,7,27,,0,1
1946,7,28,,0,1
1946,7,29,,0,1
1946,7,30,,0,1
1946,7,31,,0,1
1946,8,1,,0,1
1946,8,2,,0,1
1946,8,3,,0,1
1946,8,4,,0,1
1946,8,5,,0,1
1946,8,6,,0,1
1946,8,7,,0,1
1946,8,8,,0,1
1946,8,9,,0,1
1946,8,10,,0,1
1946,8,11,,0,1
1946,8,12,,0,1
1946,8,13,,0,1
1946,8,14,,0,1
1946,8,15,,0,1
1946,8,16,,0,1
1946,8,17,,0,1
1946,8,18,,0,1
1946,8,19,,0,1
1946,8,20,,0,1
1946,8,21,,0,1
1946,8,22,,0,1
1946,8,23,,0,1
1946,8,24,,0,1
1946,8,25,,0,1
1946,8,26,,0,1
1946,8,27,,0,1
1946,8,28,,0,1
1946,8,29,,0,1
1946,8,30,,0,1
1946,8,31,,0,1
1946,9,1,,0,1
1946,9,2,,0,1
1946,9,3,,0,1
1946,9,4,,0,1
1946,9,5,,0,1
1946,9,6,,0,1
1946,9,7,,0,1
1946,9,8,,0,1
1946,9,9,,0,1
1946,9,10,,0,1
1946,9,11,,0,1
1946,9,12,,0,1
1946,9,13,,0,1
1946,9,14,,0,1
1946,9,15,,0,1
1947,7,1,,0,1
1947,7,2,,0,1
1947,7,3,,0,1
1947,7,4,,0,1
1947,7,5,,0,1
1947,7,6,,0,1
1947,7,7,,0,1
1947,7,8,,0,1
1947,7,9,,0,1
1947,7,10,,0,1
1947,7,11,,0,1
1947,7,12,,0,1
1947,7,13,,0,1
1947,7,14,,0,1
1947,7,15,,0,1
1947,7,16,,0,1
1947,7,17,,0,1
1947,7,18,,0,1
1947,7,19,,0,1
1947,7,20,,0,1
1947,7,21,,0,1
1947,7,22,,0,1
1947,7,23,,0,1
1947,7,24,,0,1
1947,7,25,,0,1
1947,7,26,,0,1
1947,7,27,,0,1
1947,7,28,,0,1
1947,7,29,,0,1
1947,7,30,,0,1
1947,7,31,,0,1
1947,8,1,,0,1
1947,8,2,,0,1
1947,8,3,,0,1
1947,8,4,,0,1
1947,8,5,,0,1
1947,8,6,,0,1
1947,8,7,,0,1
1947,8,8,,0,1
1947,8,9,,0,1
1947,8,10,,0,1
1947,8,11,,0,1
1947,8,12,,0,1
1947,8,13,,0,1
1947,8,14,,0,1
1947,8,15,,0,1
1947,8,16,,0,1
1947,8,17,,0,1
1947,8,18,,0,1
1947,8,19,,0,1
1947,8,20,,0,1
1947,8,21,,0,1
1947,8,22,,0,1
1947,8,23,,0,1
1947,8,24,,0,1
1947,8,25,,0,1
1947,8,26,,0,1
1947,8,27,,0,1
1947,8,28,,0,1
1947,8,29,,0,1
1947,8,30,,0,1
1947,8,31,,0,1
1947,9,1,,0,1
1947,9,2,,0,1
1947,9,3,,0,1
1947,9,4,,0,1
1947,9,5,,0,1
1947,9,6,,0,1
1947,9,7,,0,1
1947,9,8,,0,1
1947,9,9,,0,1
1947,9,10,,0,1
1947,9,11,,0,1
1947,9,12,,0,1
1947,9,13,,0,1
1947,9,14,,0,1
1947,9,15,,0,1
1948,7,1,,0,1
1948,7,2,,0,1
1948,7,3,,0,1
1948,7,4,,0,1
1948,7,5,,0,1
1948,7,6,,0,1
1948,7,7,,0,1
1948,7,8,,0,1
1948,7,9,,0,1
1948,7,10,,0,1
1948,7,11,,0,1
1948,7,12,,0,1
1948,7,13,,0,1
1948,7,14,,0,1
1948,7,15,,0,1
1948,7,16,,0,1
1948,7,17,,0,1
1948,7,18,,0,1
1948,7,19,,0,1
1948,7,20,,0,1
1948,7,21,,0,1
1948,7,22,,0,1
1948,7,23,,0,1
1948,7,24,,0,1
1948,7,25,,0,1
1948,7,26,,0,1
1948,7,27,,0,1
1948,7,28,,0,1
1948,7,29,,0,1
1948,7,30,,0,1
1948,7,31,,0,1
1948,8,1,,0,1
1948,8,2,,0,1
1948,8,3,,0,1
1948,8,4,,0,1
1948,8,5,,0,1
1948,8,6,,0,1
1948,8,7,,0,1
1948,8,8,,0,1
1948,8,9,,0,1
1948,8,10,,0,1
1948,8,11,,0,1
1948,8,12,,0,1
1948,8,13,,0,1
1948,8,14,,0,1
1948,8,15,,0,1
1948,8,16,,0,1
1948,8,17,,0,1
1948,8,18,,0,1
1948,8,19,,0,1
1948,8,20,,0,1
1948,8,21,,0,1
1948,8,22,,0,1
1948,8,23,,0,1
1948,8,24,,0,1
1948,8,25,,0,1
1948,8,26,,0,1
1948,8,27,,0,1
1948,8,28,,0,1
1948,8,29,,0,1
1948,8,30,,0,1
1948,8,31,,0,1
1948,9,1,,0,1
1948,9,2,,0,1
1948,9,3,,0,1
1948,9,4,,0,1
1948,9,5,,0,1
1948,9,6,,0,1
1948,9,7,,0,1
1948,9,8,,0,1
1948,9,9,,0,1
1948,9,10,,0,1
1948,9,11,,0,1
1948,9,12,,0,1
1948,9,13,,0,1
1948,9,14,,0,1
1948,9,15,,0,1
1949,7,1,,0,1
1949,7,2,,0,1
1949,7,3,,0,1
1949,7,4,,0,1
1949,7,5,,0,1
1949,7,6,,0,1
1949,7,7,,0,1
1949,7,8,,0,1
1949,7,9,,0,1
1949,7,10,,0,1
1949,7,11,,0,1
1949,7,12,,0,1
1949,7,13,,0,1
1949,7,14,,0,1
1949,7,15,,0,1
1949,7,16,,0,1
1949,7,17,,0,1
1949,7,18,,0,1
1949,7,19,,0,1
1949,7,20,,0,1
1949,7,21,,0,1
1949,7,22,,0,1
1949,7,23,,0,1
1949,7,24,,0,1
1949,7,25,,0,1
1949,7,26,,0,1
1949,7,27,,0,1
1949,7,28,,0,1
1949,7,29,,0,1
1949,7,30,,0,1
1949,7,31,,0,1
1949,8,1,,0,1
1949,8,2,,0,1
1949,8,3,,0,1
1949,8,4,,0,1
1949,8,5,,0,1
1949,8,6,,0,1
1949,8,7,,0,1
1949,8,8,,0,1
1949,8,9,,0,1
1949,8,10,,0,1
1949,8,11,,0,1
1949,8,12,,0,1
1949,8,13,,0,1
1949,8,14,,0,1
1949,8,15,,0,1
1949,8,16,,0,1
1949,8,17,,0,1
1949,8,18,,0,1
1949,8,19,,0,1
1949,8,20,,0,1
1949,8,21,,0,1
1949,8,22,,0,1
1949,8,23,,0,1
1949,8,24,,0,1
1949,8,25,,0,1
1949,8,26,,0,1
1949,8,27,,0,1
1949,8,28,,0,1
1949,8,29,,0,1
1949,8,30,,0,1
1949,8,31,,0,1
1949,9,1,,0,1
1949,9,2,,0,1
1949,9,3,,0,1
1949,9,4,,0,1
1949,9,5,,0,1
1949,9,6,,0,1
1949,9,7,,0,1
1949,9,8,,0,1
1949,9,9,,0,1
1949,9,10,,0,1
1949,9,11,,0,1
1949,9,12,,0,1
1949,9,13,,0,1
1949,9,14,,0,1
1949,9,15,,0,1
1950,7,1,,0,1
1950,7,2,,0,1
1950,7,3,,0,1
1950,7,4,,0,1
1950,7,5,,0,1
1950,7,6,,0,1
1950,7,7,,0,1
1950,7,8,,0,1
1950,7,9,,0,1
1950,7,10,,0,1
1950,7,11,,0,1
1950,7,12,,0,1
1950,7,13,,0,1
1950,7,14,,0,1
1950,7,15,,0,1
1950,7,16,,0,1
1950,7,17,,0,1
1950,7,18,,0,1
1950,7,19,,0,1
1950,7,20,,0,1
1950,7,21,,0,1
1950,7,22,,0,1
1950,7,23,,0,1
1950,7,24,,0,1
1950,7,25,,0,1
1950,7,26,,0,1
1950,7,27,,0,1
1950,7,28,,0,1
1950,7,29,,0,1
1950,7,30,,0,1
1950,7,31,,0,1
1950,8,1,,0,1
1950,8,2,,0,1
1950,8,3,,0,1
1950,8,4,,0,1
1950,8,5,,0,1
1950,8,6,,0,1
1950,8,7,,0,1
1950,8,8,,0,1
1950,8,9,,0,1
1950,8,10,,0,1
1950,8,11,,0,1
1950,8,12,,0,1
1950,8,13,,0,1
1950,8,14,,0,1
1950,8,15,,0,1
1950,8,16,,0,1
1950,8,17,,0,1
1950,8,18,,0,1
1950,8,19,,0,1
1950,8,20,,0,1
1950,8,21,,0,1
1950,8,22,,0,1
1950,8,23,,0,1
1950,8,24,,0,1
1950,8,25,,0,1
1950,8,26,,0,1
1950,8,27,,0,1
1950,8,28,,0,1
1950,8,29,,0,1
1950,8,30,,0,1
1950,8,31,,0,1
1950,9,1,,0,1
1950,9,2,,0,1
1950,9,3,,0,1
1950,9,4,,0,1
1950,9,5,,0,1
1950,9,6,,0,1
1950,9,7,,0,1
1950,9,8,,0,1
1950,9,9,,0,1
1950,9,10,,0,1
1950,9,11,,0,1
1950,9,12,,0,1
1950,9,13,,0,1
1950,9,14,,0,1
1950,9,15,,0,1
1951,7,1,,0,1
1951,7,2,,0,1
1951,7,3,,0,1
1951,7,4,,0,1
1951,7,5,,0,1
1951,7,6,,0,1
1951,7,7,,0,1
1951,7,8,,0,1
1951,7,9,,0,1
1951,7,10,,0,1
1951,7,11,,0,1
1951,7,12,,0,1
1951,7,13,,0,1
1951,7,14,,0,1
1951,7,15,,0,1
1951,7,16,,0,1
1951,7,17,,0,1
1951,7,18,,0,1
1951,7,19,,0,1
1951,7,20,,0,1
1951,7,21,,0,1
1951,7,22,,0,1
1951,7,23,,0,1
1951,7,24,,0,1
1951,7,25,,0,1
1951,7,26,,0,1
1951,7,27,,0,1
1951,7,28,,0,1
1951,7,29,,0,1
1951,7,30,,0,1
1951,7,31,,0,1
1951,8,1,,0,1
1951,8,2,,0,1
1951,8,3,,0,1
1951,8,4,,0,1
1951,8,5,,0,1
1951,8,6,,0,1
1951,8,7,,0,1
1951,8,8,,0,1
1951,8,9,,0,1
1951,8,10,,0,1
1951,8,11,,0,1
1951,8,12,,0,1
1951,8,13,,0,1
1951,8,14,,0,1
1951,8,15,,0,1
1951,8,16,,0,1
1951,8,17,,0,1
1951,8,18,,0,1
1951,8,19,,0,1
1951,8,20,,0,1
1951,8,21,,0,1
1951,8,22,,0,1
1951,8,23,,0,1
1951,8,24,,0,1
1951,8,25,,0,1
1951,8,26,,0,1
1951,8,27,,0,1
1951,8,28,,0,1
1951,8,29,,0,1
1951,8,30,,0,1
1951,8,31,,0,1
1951,9,1,,0,1
1951,9,2,,0,1
1951,9,3,,0,1
1951,9,4,,0,1
1951,9,5,,0,1
1951,9,6,,0,1
1951,9,7,,0,1
1951,9,8,,0,1
1951,9,9,,0,1
1951,9,10,,0,1
1951,9,11,,0,1
1951,9,12,,0,1
1951,9,13,,0,1
1951,9,14,,0,1
1951,9,15,,0,1
